Accession,SRA_Accession,Submitters,Release_Date,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MH457145.1,,"Karimzadeh,H., Usman,Z., Frishman,D., Roggendorf,M.",2019-03-11T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1677,GenBank,complete,,,1,Germany,,Homo sapiens,blood,,,"Hepatitis delta virus isolate E23-34770, complete genome"
MH457146.1,,"Karimzadeh,H., Usman,Z., Frishman,D., Roggendorf,M.",2019-03-11T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1670,GenBank,complete,,,1,Germany,,Homo sapiens,blood,,,"Hepatitis delta virus isolate E24-20723, complete genome"
MH457147.1,,"Karimzadeh,H., Usman,Z., Frishman,D., Roggendorf,M.",2019-03-11T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1677,GenBank,complete,,,1,Germany,,Homo sapiens,blood,,,"Hepatitis delta virus isolate E36-28269, complete genome"
MH457148.1,,"Karimzadeh,H., Usman,Z., Frishman,D., Roggendorf,M.",2019-03-11T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1683,GenBank,complete,,,1,Germany,,Homo sapiens,blood,,,"Hepatitis delta virus isolate E38-18159, complete genome"
MH457149.1,,"Karimzadeh,H., Usman,Z., Frishman,D., Roggendorf,M.",2019-03-11T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1679,GenBank,complete,,,1,Germany,,Homo sapiens,blood,,,"Hepatitis delta virus isolate H07-10501, complete genome"
MH457150.1,,"Karimzadeh,H., Usman,Z., Frishman,D., Roggendorf,M.",2019-03-11T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1683,GenBank,complete,,,1,Germany,,Homo sapiens,blood,,,"Hepatitis delta virus isolate H29-10701, complete genome"
MH457151.1,,"Karimzadeh,H., Usman,Z., Frishman,D., Roggendorf,M.",2019-03-11T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1682,GenBank,complete,,,1,Italy,,Homo sapiens,blood,,,"Hepatitis delta virus isolate I01, complete genome"
MH457152.1,,"Karimzadeh,H., Usman,Z., Frishman,D., Roggendorf,M.",2019-03-11T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1676,GenBank,complete,,,1,Italy,,Homo sapiens,blood,,,"Hepatitis delta virus isolate I02, complete genome"
MH457153.1,,"Karimzadeh,H., Usman,Z., Frishman,D., Roggendorf,M.",2019-03-11T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1676,GenBank,complete,,,1,Italy,,Homo sapiens,blood,,,"Hepatitis delta virus isolate I07, complete genome"
MH457154.1,,"Karimzadeh,H., Usman,Z., Frishman,D., Roggendorf,M.",2019-03-11T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1685,GenBank,complete,,,1,Italy,,Homo sapiens,blood,,,"Hepatitis delta virus isolate I11, complete genome"
MG711663.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1676,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2015,,"Hepatitis delta virus isolate A176, complete genome"
MG711664.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1678,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate A492, complete genome"
MG711665.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1675,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate A763, complete genome"
MG711666.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1682,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate A912, complete genome"
MG711667.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1681,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate A923, complete genome"
MG711668.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1681,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2014,,"Hepatitis delta virus isolate B583, complete genome"
MG711670.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1670,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate D2195, complete genome"
MG711671.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1688,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate D2198, complete genome"
MG711672.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1679,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate D2240, complete genome"
MG711673.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1667,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate D2248, complete genome"
MG711674.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1675,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate D2313, complete genome"
MG711675.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1677,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate D2344, complete genome"
MG711676.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1672,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate D2943, complete genome"
MG711678.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1684,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate D3703, complete genome"
MG711679.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1669,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2014,,"Hepatitis delta virus isolate D4039, complete genome"
MG711680.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1673,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2014,,"Hepatitis delta virus isolate D4068, complete genome"
MG711681.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1680,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2014,,"Hepatitis delta virus isolate D5604, complete genome"
MG711682.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1672,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2015,,"Hepatitis delta virus isolate D6591, complete genome"
MG711683.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1682,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate D7616, complete genome"
MG711684.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1681,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate D7710, complete genome"
MG711685.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1671,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate D7946, complete genome"
MG711686.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1675,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate D7975, complete genome"
MG711687.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1670,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate D8574, complete genome"
MG711688.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1682,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate D8929, complete genome"
MG711689.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1648,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate D9180, complete genome"
MG711690.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1682,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate D9236, complete genome"
MG711691.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1677,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate D9269, complete genome"
MG711692.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1676,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate D9492, complete genome"
MG711693.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1681,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2014,,"Hepatitis delta virus isolate F665, complete genome"
MG711694.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1679,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2015,,"Hepatitis delta virus isolate F886, complete genome"
MG711695.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1672,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2015,,"Hepatitis delta virus isolate F930, complete genome"
MG711696.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1673,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate J1030, complete genome"
MG711697.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1679,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2012,,"Hepatitis delta virus isolate J153, complete genome"
MG711698.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1680,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2015,,"Hepatitis delta virus isolate J2001, complete genome"
MG711699.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1673,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2015,,"Hepatitis delta virus isolate J2112, complete genome"
MG711700.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1683,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2015,,"Hepatitis delta virus isolate J2142, complete genome"
MG711701.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1682,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2015,,"Hepatitis delta virus isolate J2183, complete genome"
MG711703.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1680,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate J2309, complete genome"
MG711704.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1682,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate J2329, complete genome"
MG711705.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1678,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate J2374, complete genome"
MG711706.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1680,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate K1224, complete genome"
MG711709.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1684,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate K1370, complete genome"
MG711710.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1687,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate K1572, complete genome"
MG711711.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1670,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate K1827, complete genome"
MG711712.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1681,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate K2000, complete genome"
MG711713.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1655,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate K2126, complete genome"
MG711714.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1646,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate K2167, complete genome"
MG711716.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1680,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2013,,"Hepatitis delta virus isolate K2663, complete genome"
MG711717.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1683,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2014,,"Hepatitis delta virus isolate K2885, complete genome"
MG711718.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1677,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2015,,"Hepatitis delta virus isolate K3820, complete genome"
MG711720.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1675,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2015,,"Hepatitis delta virus isolate K4928, complete genome"
MG711721.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1652,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2015,,"Hepatitis delta virus isolate K5972, complete genome"
MG711722.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1650,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2015,,"Hepatitis delta virus isolate K6027, complete genome"
MG711723.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1668,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate K6236, complete genome"
MG711724.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1671,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate K6249, complete genome"
MG711725.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1681,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate K6275, complete genome"
MG711726.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1680,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate K6401, complete genome"
MG711727.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1679,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate K6658, complete genome"
MG711728.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1678,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate K6726, complete genome"
MG711729.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1670,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate K6786, complete genome"
MG711730.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1686,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate K6805, complete genome"
MG711731.1,,"Butler,E.K., Rodgers,M.A., Coller,K.E., Barnaby,D., Krilich,E., Olivo,A., Cassidy,M., Mbanya,D., Kaptue,L., Ndembi,N., Cloherty,G.",2018-08-08T00:00:00Z,Hepatitis delta virus,Deltavirus,,ssRNA(-),1680,GenBank,complete,,,1,Cameroon,,Homo sapiens,,2016,,"Hepatitis delta virus isolate K6904, complete genome"
