Accession,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
KT033023.1,,"Cho,W.K., Jo,Y., Jeong,S.U., Choi,H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Ford-18,Chrysanthemum chlorotic mottle viroid,Pelamoviroid,Avsunviroidae,ssRNA,399,GenBank,complete,,,,South Korea,South Korea,,Chrysanthemum,,2012-10-30,,"Chrysanthemum chlorotic mottle viroid isolate Ford-18, complete genome"
KT033024.1,,"Cho,W.K., Jo,Y., Jeong,S.U., Choi,H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Ford-19,Chrysanthemum chlorotic mottle viroid,Pelamoviroid,Avsunviroidae,ssRNA,400,GenBank,complete,,,,South Korea,South Korea,,Chrysanthemum,,2012-10-30,,"Chrysanthemum chlorotic mottle viroid isolate Ford-19, complete genome"
KT033025.1,,"Cho,W.K., Jo,Y., Jeong,S.U., Choi,H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Ford-20,Chrysanthemum chlorotic mottle viroid,Pelamoviroid,Avsunviroidae,ssRNA,399,GenBank,complete,,,,South Korea,South Korea,,Chrysanthemum,,2012-10-30,,"Chrysanthemum chlorotic mottle viroid isolate Ford-20, complete genome"
KT033026.1,,"Cho,W.K., Jo,Y., Jeong,S.U., Choi,H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Ford-23,Chrysanthemum chlorotic mottle viroid,Pelamoviroid,Avsunviroidae,ssRNA,399,GenBank,complete,,,,South Korea,South Korea,,Chrysanthemum,,2012-10-30,,"Chrysanthemum chlorotic mottle viroid isolate Ford-23, complete genome"
KT033027.1,,"Cho,W.K., Jo,Y., Jeong,S.U., Choi,H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Ford-24,Chrysanthemum chlorotic mottle viroid,Pelamoviroid,Avsunviroidae,ssRNA,399,GenBank,complete,,,,South Korea,South Korea,,Chrysanthemum,,2012-10-30,,"Chrysanthemum chlorotic mottle viroid isolate Ford-24, complete genome"
KT033028.1,,"Cho,W.K., Jo,Y., Jeong,S.U., Choi,H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Ford-26,Chrysanthemum chlorotic mottle viroid,Pelamoviroid,Avsunviroidae,ssRNA,399,GenBank,complete,,,,South Korea,South Korea,,Chrysanthemum,,2012-10-30,,"Chrysanthemum chlorotic mottle viroid isolate Ford-26, complete genome"
KT033029.1,,"Cho,W.K., Jo,Y., Jeong,S.U., Choi,H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Ford-27,Chrysanthemum chlorotic mottle viroid,Pelamoviroid,Avsunviroidae,ssRNA,399,GenBank,complete,,,,South Korea,South Korea,,Chrysanthemum,,2012-10-30,,"Chrysanthemum chlorotic mottle viroid isolate Ford-27, complete genome"
KT033030.1,,"Cho,W.K., Jo,Y., Jeong,S.U., Choi,H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Ford-28,Chrysanthemum chlorotic mottle viroid,Pelamoviroid,Avsunviroidae,ssRNA,399,GenBank,complete,,,,South Korea,South Korea,,Chrysanthemum,,2012-10-30,,"Chrysanthemum chlorotic mottle viroid isolate Ford-28, complete genome"
KT033031.1,,"Cho,W.K., Jo,Y., Jeong,S.U., Choi,H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Ford-29,Chrysanthemum chlorotic mottle viroid,Pelamoviroid,Avsunviroidae,ssRNA,399,GenBank,complete,,,,South Korea,South Korea,,Chrysanthemum,,2012-10-30,,"Chrysanthemum chlorotic mottle viroid isolate Ford-29, complete genome"
KT033032.1,,"Cho,W.K., Jo,Y., Jeong,S.U., Choi,H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Ford-30,Chrysanthemum chlorotic mottle viroid,Pelamoviroid,Avsunviroidae,ssRNA,399,GenBank,complete,,,,South Korea,South Korea,,Chrysanthemum,,2012-10-30,,"Chrysanthemum chlorotic mottle viroid isolate Ford-30, complete genome"
KT033033.1,,"Jo,Y., Yoo,S.H., Chu,H., Cho,J.K., Choi,H., Yoon,J.Y., Choi,S.K., Cho,W.K., Yoo,S.-H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Cheonjungdo-1,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,1,South Korea,South Korea,,Prunus persica,,2014-05-18,,"Peach latent mosaic viroid isolate Cheonjungdo-1, complete genome"
KT033034.1,,"Jo,Y., Yoo,S.H., Chu,H., Cho,J.K., Choi,H., Yoon,J.Y., Choi,S.K., Cho,W.K., Yoo,S.-H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Cheonjungdo-5,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,339,GenBank,complete,,,1,South Korea,South Korea,,Prunus persica,,2014-05-18,,"Peach latent mosaic viroid isolate Cheonjungdo-5, complete genome"
KT033035.1,,"Jo,Y., Yoo,S.H., Chu,H., Cho,J.K., Choi,H., Yoon,J.Y., Choi,S.K., Cho,W.K., Yoo,S.-H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Cheonjungdo-7,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,1,South Korea,South Korea,,Prunus persica,,2014-05-18,,"Peach latent mosaic viroid isolate Cheonjungdo-7, complete genome"
KT033036.1,,"Jo,Y., Yoo,S.H., Chu,H., Cho,J.K., Choi,H., Yoon,J.Y., Choi,S.K., Cho,W.K., Yoo,S.-H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Cheonjungdo-9,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,1,South Korea,South Korea,,Prunus persica,,2014-05-18,,"Peach latent mosaic viroid isolate Cheonjungdo-9, complete genome"
KT033037.1,,"Jo,Y., Yoo,S.H., Chu,H., Cho,J.K., Choi,H., Yoon,J.Y., Choi,S.K., Cho,W.K., Yoo,S.-H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Cheonjungdo-10,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,1,South Korea,South Korea,,Prunus persica,,2014-05-18,,"Peach latent mosaic viroid isolate Cheonjungdo-10, complete genome"
KT033038.1,,"Jo,Y., Yoo,S.H., Chu,H., Cho,J.K., Choi,H., Yoon,J.Y., Choi,S.K., Cho,W.K., Yoo,S.-H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Cheonjungdo-11,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,339,GenBank,complete,,,1,South Korea,South Korea,,Prunus persica,,2014-05-18,,"Peach latent mosaic viroid isolate Cheonjungdo-11, complete genome"
KT033039.1,,"Jo,Y., Yoo,S.H., Chu,H., Cho,J.K., Choi,H., Yoon,J.Y., Choi,S.K., Cho,W.K., Yoo,S.-H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Cheonjungdo-12,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,1,South Korea,South Korea,,Prunus persica,,2014-05-18,,"Peach latent mosaic viroid isolate Cheonjungdo-12, complete genome"
KT033040.1,,"Jo,Y., Yoo,S.H., Chu,H., Cho,J.K., Choi,H., Yoon,J.Y., Choi,S.K., Cho,W.K., Yoo,S.-H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Cheonjungdo-14,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,339,GenBank,complete,,,1,South Korea,South Korea,,Prunus persica,,2014-05-18,,"Peach latent mosaic viroid isolate Cheonjungdo-14, complete genome"
KT033041.1,,"Jo,Y., Yoo,S.H., Chu,H., Cho,J.K., Choi,H., Yoon,J.Y., Choi,S.K., Cho,W.K., Yoo,S.-H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Cheonjungdo-15,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,1,South Korea,South Korea,,Prunus persica,,2014-05-18,,"Peach latent mosaic viroid isolate Cheonjungdo-15, complete genome"
KT033042.1,,"Jo,Y., Yoo,S.H., Chu,H., Cho,J.K., Choi,H., Yoon,J.Y., Choi,S.K., Cho,W.K., Yoo,S.-H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Cheonjungdo-16,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,339,GenBank,complete,,,1,South Korea,South Korea,,Prunus persica,,2014-05-18,,"Peach latent mosaic viroid isolate Cheonjungdo-16, complete genome"
KT033043.1,,"Jo,Y., Yoo,S.H., Chu,H., Cho,J.K., Choi,H., Yoon,J.Y., Choi,S.K., Cho,W.K., Yoo,S.-H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Cheonjungdo-17,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,339,GenBank,complete,,,1,South Korea,South Korea,,Prunus persica,,2014-05-18,,"Peach latent mosaic viroid isolate Cheonjungdo-17, complete genome"
KT033044.1,,"Jo,Y., Yoo,S.H., Chu,H., Cho,J.K., Choi,H., Yoon,J.Y., Choi,S.K., Cho,W.K., Yoo,S.-H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Cheonjungdo-18,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,339,GenBank,complete,,,1,South Korea,South Korea,,Prunus persica,,2014-05-18,,"Peach latent mosaic viroid isolate Cheonjungdo-18, complete genome"
KT033045.1,,"Jo,Y., Yoo,S.H., Chu,H., Cho,J.K., Choi,H., Yoon,J.Y., Choi,S.K., Cho,W.K., Yoo,S.-H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Cheonjungdo-19,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,1,South Korea,South Korea,,Prunus persica,,2014-05-18,,"Peach latent mosaic viroid isolate Cheonjungdo-19, complete genome"
KT033046.1,,"Jo,Y., Yoo,S.H., Chu,H., Cho,J.K., Choi,H., Yoon,J.Y., Choi,S.K., Cho,W.K., Yoo,S.-H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Cheonjungdo-20,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,339,GenBank,complete,,,1,South Korea,South Korea,,Prunus persica,,2014-05-18,,"Peach latent mosaic viroid isolate Cheonjungdo-20, complete genome"
KT033047.1,,"Jo,Y., Yoo,S.H., Chu,H., Cho,J.K., Choi,H., Yoon,J.Y., Choi,S.K., Cho,W.K., Yoo,S.-H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Cheonjungdo-21,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,339,GenBank,complete,,,1,South Korea,South Korea,,Prunus persica,,2014-05-18,,"Peach latent mosaic viroid isolate Cheonjungdo-21, complete genome"
KT033048.1,,"Jo,Y., Yoo,S.H., Chu,H., Cho,J.K., Choi,H., Yoon,J.Y., Choi,S.K., Cho,W.K., Yoo,S.-H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Cheonjungdo-22,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,1,South Korea,South Korea,,Prunus persica,,2014-05-18,,"Peach latent mosaic viroid isolate Cheonjungdo-22, complete genome"
KT033049.1,,"Jo,Y., Yoo,S.H., Chu,H., Cho,J.K., Choi,H., Yoon,J.Y., Choi,S.K., Cho,W.K., Yoo,S.-H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Cheonjungdo-23,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,1,South Korea,South Korea,,Prunus persica,,2014-05-18,,"Peach latent mosaic viroid isolate Cheonjungdo-23, complete genome"
KT033050.1,,"Jo,Y., Yoo,S.H., Chu,H., Cho,J.K., Choi,H., Yoon,J.Y., Choi,S.K., Cho,W.K., Yoo,S.-H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Cheonjungdo-24,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,339,GenBank,complete,,,1,South Korea,South Korea,,Prunus persica,,2014-05-18,,"Peach latent mosaic viroid isolate Cheonjungdo-24, complete genome"
KT033051.1,,"Jo,Y., Yoo,S.H., Chu,H., Cho,J.K., Choi,H., Yoon,J.Y., Choi,S.K., Cho,W.K., Yoo,S.-H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Cheonjungdo-25,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,338,GenBank,complete,,,1,South Korea,South Korea,,Prunus persica,,2014-05-18,,"Peach latent mosaic viroid isolate Cheonjungdo-25, complete genome"
KT033052.1,,"Jo,Y., Yoo,S.H., Chu,H., Cho,J.K., Choi,H., Yoon,J.Y., Choi,S.K., Cho,W.K., Yoo,S.-H., Yoon,J.-Y., Choi,S.-K.",2015-08-03T00:00:00Z,Cheonjungdo-26,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,1,South Korea,South Korea,,Prunus persica,,2014-05-18,,"Peach latent mosaic viroid isolate Cheonjungdo-26, complete genome"
KP262531.1,,"Adkar-Purushothama,C.R., Chennappa,G., Poornachandra Rao,K., Sreenivasa,M.Y., Nagendra Prasad,M.N., Maheshwar,P.K., Sano,T.",2015-03-17T00:00:00Z,CChMVd-1,Chrysanthemum chlorotic mottle viroid,Pelamoviroid,Avsunviroidae,ssRNA,399,GenBank,complete,,,,India,India,,Chrysanthemum,,2010-05,,"Chrysanthemum chlorotic mottle viroid isolate CChMVd-1, complete genome"
KP262532.1,,"Adkar-Purushothama,C.R., Chennappa,G., Poornachandra Rao,K., Sreenivasa,M.Y., Nagendra Prasad,M.N., Sano,T.",2015-03-17T00:00:00Z,CChMVd-2,Chrysanthemum chlorotic mottle viroid,Pelamoviroid,Avsunviroidae,ssRNA,399,GenBank,complete,,,,India,India,,Chrysanthemum,,2010-06,,"Chrysanthemum chlorotic mottle viroid isolate CChMVd-2, complete genome"
KP262533.1,,"Adkar-Purushothama,C.R., Chennappa,G., Poornachandra Rao,K., Sreenivasa,M.Y., Nagendra Prasad,M.N., Maheshwar,P.K., Sano,T.",2015-03-17T00:00:00Z,CChMVd-3,Chrysanthemum chlorotic mottle viroid,Pelamoviroid,Avsunviroidae,ssRNA,399,GenBank,complete,,,,India,India,,Chrysanthemum,,2010-06,,"Chrysanthemum chlorotic mottle viroid isolate CChMVd-3, complete genome"
LC017918.1,,"Hosokawa,M., Matsushita,Y., Ohishi,K., Yazawa,S., Nabeshima,T.",2015-01-17T00:00:00Z,JpnCCh,Chrysanthemum chlorotic mottle viroid,Pelamoviroid,Avsunviroidae,ssRNA,399,GenBank,complete,,,,Japan: Kyoto,Japan,,Chrysanthemum x morifolium,,,,"Chrysanthemum chlorotic mottle viroid genomic RNA, complete genome, isolate: JpnCCh"
KJ754183.1,,"Zhu,X., Zhao,L., Li,G.",2014-07-29T00:00:00Z,SDP2,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,341,GenBank,complete,,,,China: Taian,China,,Prunus persica,,2013-04-08,,"Peach latent mosaic viroid isolate SDP2, complete sequence"
KF866387.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,336,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 1_14848_336 clone-lib P7, complete sequence"
KF866388.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,336,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 2_11877_336 clone-lib P7, complete sequence"
KF866389.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,336,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 3_6374_336 clone-lib P7, complete sequence"
KF866390.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,336,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 4_5354_336 clone-lib P7, complete sequence"
KF866391.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,336,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 5_4570_336 clone-lib P7, complete sequence"
KF866392.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,336,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 6_4180_336 clone-lib P7, complete sequence"
KF866393.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,336,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 7_2899_336 clone-lib P7, complete sequence"
KF866394.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 8_2874_337 clone-lib P7, complete sequence"
KF866395.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 9_2624_337 clone-lib P7, complete sequence"
KF866396.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,336,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 10_2377_336 clone-lib P7, complete sequence"
KF866397.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,336,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 11_2076_336 clone-lib P7, complete sequence"
KF866398.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,336,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 12_2062_336 clone-lib P7, complete sequence"
KF866399.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,336,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 13_1939_336 clone-lib P7, complete sequence"
KF866400.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,336,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 14_1784_336 clone-lib P7, complete sequence"
KF866401.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,336,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 15_1782_336 clone-lib P7, complete sequence"
KF866402.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 16_1751_337 clone-lib P7, complete sequence"
KF866403.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,336,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 17_1420_336 clone-lib P7, complete sequence"
KF866404.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,335,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 18_1146_335 clone-lib P7, complete sequence"
KF866405.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,336,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 19_1138_336 clone-lib P7, complete sequence"
KF866406.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,335,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 20_1019_335 clone-lib P7, complete sequence"
KF866407.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 21_939_337 clone-lib P7, complete sequence"
KF866408.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 22_927_337 clone-lib P7, complete sequence"
KF866409.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,336,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 23_897_336 clone-lib P7, complete sequence"
KF866410.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,336,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 24_883_336 clone-lib P7, complete sequence"
KF866411.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 25_715_337 clone-lib P7, complete sequence"
KF866412.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 26_687_337 clone-lib P7, complete sequence"
KF866413.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,335,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 27_649_335 clone-lib P7, complete sequence"
KF866414.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,336,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 28_648_336 clone-lib P7, complete sequence"
KF866415.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,336,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 29_620_336 clone-lib P7, complete sequence"
KF866416.1,,"Glouzon,J.P., Bolduc,F., Wang,S., Najmanovich,R.J., Perreault,J.P., Glouzon,J.-P.S., Najmanovich,R., Perreault,J.-P.",2014-02-07T00:00:00Z,,Peach latent mosaic viroid,Pelamoviroid,Avsunviroidae,ssRNA,337,GenBank,complete,,,1,,,,,,,,"Peach latent mosaic viroid clone 30_569_337 clone-lib P7, complete sequence"
