MT993977.1	MT993977.1
KF868415.1	KF866499.1
KF868415.1	KF866500.1
KF868415.1	KF866501.1
KF868415.1	KF866502.1
KF868415.1	KF866503.1
KF868415.1	KF866504.1
KF868415.1	KF866505.1
KF868415.1	KF866506.1
KF868415.1	KF866507.1
KF868415.1	KF866508.1
KF868415.1	KF866509.1
KF868415.1	KF866510.1
KF868415.1	KF866511.1
KF868415.1	KF866512.1
KF868415.1	KF866513.1
KF868415.1	KF866514.1
KF868415.1	KF866515.1
KF868415.1	KF866516.1
KF868415.1	KF866517.1
KF868415.1	KF866518.1
KF868415.1	KF866519.1
KF868415.1	KF866520.1
KF868415.1	KF866521.1
KF868415.1	KF866522.1
KF868415.1	KF866523.1
KF868415.1	KF866524.1
KF868415.1	KF866525.1
KF868415.1	KF866526.1
KF868415.1	KF866527.1
KF868415.1	KF866528.1
KF868415.1	KF866529.1
KF868415.1	KF866530.1
KF868415.1	KF866531.1
KF868415.1	KF866532.1
KF868415.1	KF866533.1
KF868415.1	KF866534.1
KF868415.1	KF866535.1
KF868415.1	KF866536.1
KF868415.1	KF866537.1
KF868415.1	KF866538.1
KF868415.1	KF866539.1
KF868415.1	KF866540.1
KF868415.1	KF866541.1
KF868415.1	KF866542.1
KF868415.1	KF866543.1
KF868415.1	KF866544.1
KF868415.1	KF866545.1
KF868415.1	KF866546.1
KF868415.1	KF866548.1
KF868415.1	KF866549.1
KF868415.1	KF866550.1
KF868415.1	KF866551.1
KF868415.1	KF866552.1
KF868415.1	KF866553.1
KF868415.1	KF866554.1
KF868415.1	KF866555.1
KF868415.1	KF866556.1
KF868415.1	KF866557.1
KF868415.1	KF866558.1
KF868415.1	KF866559.1
KF868415.1	KF866560.1
KF868415.1	KF866561.1
KF868415.1	KF866562.1
KF868415.1	KF866563.1
KF868415.1	KF866564.1
KF868415.1	KF866565.1
KF868415.1	KF866566.1
KF868415.1	KF866567.1
KF868415.1	KF866568.1
KF868415.1	KF866569.1
KF868415.1	KF866570.1
KF868415.1	KF866571.1
KF868415.1	KF866572.1
KF868415.1	KF866574.1
KF868415.1	KF866576.1
KF868415.1	KF866577.1
KF868415.1	KF866578.1
KF868415.1	KF866579.1
KF868415.1	KF866580.1
KF868415.1	KF866581.1
KF868415.1	KF866582.1
KF868415.1	KF866583.1
KF868415.1	KF866584.1
KF868415.1	KF866585.1
KF868415.1	KF866586.1
KF868415.1	KF866587.1
KF868415.1	KF866588.1
KF868415.1	KF866589.1
KF868415.1	KF866590.1
KF868415.1	KF866591.1
KF868415.1	KF866592.1
KF868415.1	KF866593.1
KF868415.1	KF866594.1
KF868415.1	KF866595.1
KF868415.1	KF866596.1
KF868415.1	KF866597.1
KF868415.1	KF866598.1
KF868415.1	KF866599.1
KF868415.1	KF866600.1
KF868415.1	KF866601.1
KF868415.1	KF866602.1
KF868415.1	KF866603.1
KF868415.1	KF866604.1
KF868415.1	KF866605.1
KF868415.1	KF866606.1
KF868415.1	KF866607.1
KF868415.1	KF866608.1
KF868415.1	KF866609.1
KF868415.1	KF866610.1
KF868415.1	KF866611.1
KF868415.1	KF866612.1
KF868415.1	KF866613.1
KF868415.1	KF866614.1
KF868415.1	KF866615.1
KF868415.1	KF866616.1
KF868415.1	KF866617.1
KF868415.1	KF866618.1
KF868415.1	KF866619.1
KF868415.1	KF866620.1
KF868415.1	KF866621.1
KF868415.1	KF867533.1
KF868415.1	KF867670.1
KF868415.1	KF868055.1
KF868415.1	KF866622.1
KF868415.1	KF866623.1
KF868415.1	KF866624.1
KF868415.1	KF866625.1
KF868415.1	KF866626.1
KF868415.1	KF866627.1
KF868415.1	KF866628.1
KF868415.1	KF866629.1
KF868415.1	KF866630.1
KF868415.1	KF866631.1
KF868415.1	KF866632.1
KF868415.1	KF866633.1
KF868415.1	KF866693.1
KF868415.1	KF866715.1
KF868415.1	KF867230.1
KF868415.1	KF867284.1
KF868415.1	KF867612.1
KF868415.1	KF867613.1
KF868415.1	KF867710.1
KF868415.1	KF868089.1
KF868415.1	KF868106.1
KF868415.1	KF868132.1
KF868415.1	KF868133.1
KF868415.1	KF868138.1
KF868415.1	KF866634.1
KF868415.1	KF866635.1
KF868415.1	KF866636.1
KF868415.1	KF866637.1
KF868415.1	KF866638.1
KF868415.1	KF866639.1
KF868415.1	KF866642.1
KF868415.1	KF866643.1
KF868415.1	KF866644.1
KF868415.1	KF866645.1
KF868415.1	KF866646.1
KF868415.1	KF866647.1
KF868415.1	KF866648.1
KF868415.1	KF866650.1
KF868415.1	KF866651.1
KF868415.1	KF866653.1
KF868415.1	KF866654.1
KF868415.1	KF866655.1
KF868415.1	KF866656.1
KF868415.1	KF866657.1
KF868415.1	KF866658.1
KF868415.1	KF866659.1
KF868415.1	KF866660.1
KF868415.1	KF866661.1
KF868415.1	KF866662.1
KF868415.1	KF866663.1
KF868415.1	KF866664.1
KF868415.1	KF866665.1
KF868415.1	KF866666.1
KF868415.1	KF866667.1
KF868415.1	KF866668.1
KF868415.1	KF866669.1
KF868415.1	KF866670.1
KF868415.1	KF866671.1
KF868415.1	KF866672.1
KF868415.1	KF866673.1
KF868415.1	KF866674.1
KF868415.1	KF866675.1
KF868415.1	KF866676.1
KF868415.1	KF866677.1
KF868415.1	KF866678.1
KF868415.1	KF866679.1
KF868415.1	KF866680.1
KF868415.1	KF866681.1
KF868415.1	KF866682.1
KF868415.1	KF866683.1
KF868415.1	KF866684.1
KF868415.1	KF866687.1
KF868415.1	KF866688.1
KF868415.1	KF866689.1
KF868415.1	KF866690.1
KF868415.1	KF866691.1
KF868415.1	KF866692.1
KF868415.1	KF866694.1
KF868415.1	KF866695.1
KF868415.1	KF866696.1
KF868415.1	KF866697.1
KF868415.1	KF866698.1
KF868415.1	KF866699.1
KF868415.1	KF866700.1
KF868415.1	KF866701.1
KF868415.1	KF866702.1
KF868415.1	KF866703.1
KF868415.1	KF866704.1
KF868415.1	KF866705.1
KF868415.1	KF866706.1
KF868415.1	KF866707.1
KF868415.1	KF866708.1
KF868415.1	KF866709.1
KF868415.1	KF866710.1
KF868415.1	KF866711.1
KF868415.1	KF866712.1
KF868415.1	KF866713.1
KF868415.1	KF866714.1
KF868415.1	KF866716.1
KF868415.1	KF866717.1
KF868415.1	KF866718.1
KF868415.1	KF866719.1
KF868415.1	KF866720.1
KF868415.1	KF866723.1
KF868415.1	KF866724.1
KF868415.1	KF866725.1
KF868415.1	KF866726.1
KF868415.1	KF866727.1
KF868415.1	KF866729.1
KF868415.1	KF866730.1
KF868415.1	KF866731.1
KF868415.1	KF866732.1
KF868415.1	KF866733.1
KF868415.1	KF866734.1
KF868415.1	KF867020.1
KF868415.1	KF867406.1
KF868415.1	KF867802.1
KF868415.1	KF867817.1
KF868415.1	KF867975.1
KF868415.1	KF868344.1
KF868415.1	KF866735.1
KF868415.1	KF866736.1
KF868415.1	KF866738.1
KF868415.1	KF866740.1
KF868415.1	KF866783.1
KF868415.1	KF866910.1
KF868415.1	KF867470.1
KF868415.1	KF867929.1
KF868415.1	KF868308.1
KF868415.1	KF866741.1
KF868415.1	KF866742.1
KF868415.1	KF866743.1
KF868415.1	KF866744.1
KF868415.1	KF866745.1
KF868415.1	KF866746.1
KF868415.1	KF866747.1
KF868415.1	KF866748.1
KF868415.1	KF866749.1
KF868415.1	KF866750.1
KF868415.1	KF866751.1
KF868415.1	KF866752.1
KF868415.1	KF866753.1
KF868415.1	KF866754.1
KF868415.1	KF866755.1
KF868415.1	KF866756.1
KF868415.1	KF866757.1
KF868415.1	KF866758.1
KF868415.1	KF866759.1
KF868415.1	KF866851.1
KF868415.1	KF867366.1
KF868415.1	KF867367.1
KF868415.1	KF867473.1
KF868415.1	KF867577.1
KF868415.1	KF868139.1
KF868415.1	KF868140.1
KF868415.1	KF868442.1
KF868415.1	KF868443.1
KF868415.1	KF868444.1
KF868415.1	KF866760.1
KF868415.1	KF866761.1
KF868415.1	KF866762.1
KF868415.1	KF866763.1
KF868415.1	KF866764.1
KF868415.1	KF866765.1
KF868415.1	KF866913.1
KF868415.1	KF867357.1
KF868415.1	KF867494.1
KF868415.1	KF867495.1
KF868415.1	KF868438.1
KF868415.1	KF866766.1
KF868415.1	KF866767.1
KF868415.1	KF866768.1
KF868415.1	KF866769.1
KF868415.1	KF866770.1
KF868415.1	KF866771.1
KF868415.1	KF866772.1
KF868415.1	KF866773.1
KF868415.1	KF866774.1
KF868415.1	KF866776.1
KF868415.1	KF866777.1
KF868415.1	KF866778.1
KF868415.1	KF866779.1
KF868415.1	KF866780.1
KF868415.1	KF866781.1
KF868415.1	KF866782.1
KF868415.1	KF866784.1
KF868415.1	KF866785.1
KF868415.1	KF866786.1
KF868415.1	KF866788.1
KF868415.1	KF866789.1
KF868415.1	KF866790.1
KF868415.1	KF866791.1
KF868415.1	KF866792.1
KF868415.1	KF866793.1
KF868415.1	KF866794.1
KF868415.1	KF866795.1
KF868415.1	KF866796.1
KF868415.1	KF867058.1
KF868415.1	KF867254.1
KF868415.1	KF867405.1
KF868415.1	KF867520.1
KF868415.1	KF867791.1
KF868415.1	KF868346.1
KF868415.1	KF866797.1
KF868415.1	KF866798.1
KF868415.1	KF866800.1
KF868415.1	KF868416.1
KF868415.1	KF868585.1
KF868415.1	KF868912.1
KF868415.1	KF869017.1
KF868415.1	KF869313.1
KF868415.1	KF869419.1
KF868415.1	KF869429.1
KF868415.1	KF869905.1
KF868415.1	KF870278.1
KF868415.1	KF866801.1
KF868415.1	KF866802.1
KF868415.1	KF866803.1
KF868415.1	KF866804.1
KF868415.1	KF866805.1
KF868415.1	KF866806.1
KF868415.1	KF866807.1
KF868415.1	KF866808.1
KF868415.1	KF866809.1
KF868415.1	KF866810.1
KF868415.1	KF866811.1
KF868415.1	KF866812.1
KF868415.1	KF866815.1
KF868415.1	KF866816.1
KF868415.1	KF866817.1
KF868415.1	KF866818.1
KF868415.1	KF866819.1
KF868415.1	KF866820.1
KF868415.1	KF866821.1
KF868415.1	KF866822.1
KF868415.1	KF866823.1
KF868415.1	KF866824.1
KF868415.1	KF866825.1
KF868415.1	KF866826.1
KF868415.1	KF866827.1
KF868415.1	KF866828.1
KF868415.1	KF866829.1
KF868415.1	KF866830.1
KF868415.1	KF866831.1
KF868415.1	KF866832.1
KF868415.1	KF866833.1
KF868415.1	KF866834.1
KF868415.1	KF866835.1
KF868415.1	KF866836.1
KF868415.1	KF866837.1
KF868415.1	KF866838.1
KF868415.1	KF866839.1
KF868415.1	KF866840.1
KF868415.1	KF866841.1
KF868415.1	KF866842.1
KF868415.1	KF866843.1
KF868415.1	KF866844.1
KF868415.1	KF866845.1
KF868415.1	KF866846.1
KF868415.1	KF866847.1
KF868415.1	KF866848.1
KF868415.1	KF866850.1
KF868415.1	KF866852.1
KF868415.1	KF866853.1
KF868415.1	KF866854.1
KF868415.1	KF866855.1
KF868415.1	KF866856.1
KF868415.1	KF866857.1
KF868415.1	KF866858.1
KF868415.1	KF866859.1
KF868415.1	KF866860.1
KF868415.1	KF866861.1
KF868415.1	KF866862.1
KF868415.1	KF866863.1
KF868415.1	KF866864.1
KF868415.1	KF866866.1
KF868415.1	KF866867.1
KF868415.1	KF866868.1
KF868415.1	KF866869.1
KF868415.1	KF866870.1
KF868415.1	KF866871.1
KF868415.1	KF866872.1
KF868415.1	KF866873.1
KF868415.1	KF866874.1
KF868415.1	KF866875.1
KF868415.1	KF866876.1
KF868415.1	KF866877.1
KF868415.1	KF866878.1
KF868415.1	KF866879.1
KF868415.1	KF866880.1
KF868415.1	KF866881.1
KF868415.1	KF866882.1
KF868415.1	KF866883.1
KF868415.1	KF866884.1
KF868415.1	KF866885.1
KF868415.1	KF866886.1
KF868415.1	KF866887.1
KF868415.1	KF866888.1
KF868415.1	KF866889.1
KF868415.1	KF866890.1
KF868415.1	KF866891.1
KF868415.1	KF866953.1
KF868415.1	KF867234.1
KF868415.1	KF867286.1
KF868415.1	KF867925.1
KF868415.1	KF868100.1
KF868415.1	KF868315.1
KF868415.1	KF866892.1
KF868415.1	KF866893.1
KF868415.1	KF866894.1
KF868415.1	KF866895.1
KF868415.1	KF866896.1
KF868415.1	KF866897.1
KF868415.1	KF866898.1
KF868415.1	KF866899.1
KF868415.1	KF866900.1
KF868415.1	KF866902.1
KF868415.1	KF866903.1
KF868415.1	KF866905.1
KF868415.1	KF866906.1
KF868415.1	KF866907.1
KF868415.1	KF867673.1
KF868415.1	KF868200.1
KF868415.1	KF866908.1
KF868415.1	KF866909.1
KF868415.1	KF866911.1
KF868415.1	KF866912.1
KF868415.1	KF866914.1
KF868415.1	KF866915.1
KF868415.1	KF866916.1
KF868415.1	KF866917.1
KF868415.1	KF866918.1
KF868415.1	KF866919.1
KF868415.1	KF866920.1
KF868415.1	KF866921.1
KF868415.1	KF866922.1
KF868415.1	KF866923.1
KF868415.1	KF866924.1
KF868415.1	KF866925.1
KF868415.1	KF866926.1
KF868415.1	KF867055.1
KF868415.1	KF867521.1
KF868415.1	KF866927.1
KF868415.1	KF866928.1
KF868415.1	KF866929.1
KF868415.1	KF866930.1
KF868415.1	KF866931.1
KF868415.1	KF866932.1
KF868415.1	KF866933.1
KF868415.1	KF866934.1
KF868415.1	KF866935.1
KF868415.1	KF866936.1
KF868415.1	KF866937.1
KF868415.1	KF866938.1
KF868415.1	KF866939.1
KF868415.1	KF866652.1
KF868415.1	KF866775.1
KF868415.1	KF866799.1
KF868415.1	KF866901.1
KF868415.1	KF867080.1
KF868415.1	KF867171.1
KF868415.1	KF867238.1
KF868415.1	KF867308.1
KF868415.1	KF867309.1
KF868415.1	KF867566.1
KF868415.1	KF867568.1
KF868415.1	KF867623.1
KF868415.1	KF867624.1
KF868415.1	KF867860.1
KF868415.1	KF867926.1
KF868415.1	KF867958.1
KF868415.1	KF868248.1
KF868415.1	KF868252.1
KF868415.1	KF870077.1
KF868415.1	KF866940.1
KF868415.1	KF866941.1
KF868415.1	KF866942.1
KF868415.1	KF866943.1
KF868415.1	KF866944.1
KF868415.1	KF866946.1
KF868415.1	KF867983.1
KF868415.1	KF868029.1
KF868415.1	KF868278.1
KF868415.1	KF866948.1
KF868415.1	KF866949.1
KF868415.1	KF866950.1
KF868415.1	KF866951.1
KF868415.1	KF866952.1
KF868415.1	KF866954.1
KF868415.1	KF866955.1
KF868415.1	KF866956.1
KF868415.1	KF866957.1
KF868415.1	KF866959.1
KF868415.1	KF866960.1
KF868415.1	KF866961.1
KF868415.1	KF866962.1
KF868415.1	KF866963.1
KF868415.1	KF866964.1
KF868415.1	KF866965.1
KF868415.1	KF866966.1
KF868415.1	KF866967.1
KF868415.1	KF866968.1
KF868415.1	KF866969.1
KF868415.1	KF866970.1
KF868415.1	KF866971.1
KF868415.1	KF866972.1
KF868415.1	KF866973.1
KF868415.1	KF866974.1
KF868415.1	KF866975.1
KF868415.1	KF866976.1
KF868415.1	KF866977.1
KF868415.1	KF866978.1
KF868415.1	KF866979.1
KF868415.1	KF866980.1
KF868415.1	KF866981.1
KF868415.1	KF866982.1
KF868415.1	KF866984.1
KF868415.1	KF866985.1
KF868415.1	KF866986.1
KF868415.1	KF866987.1
KF868415.1	KF866988.1
KF868415.1	KF866989.1
KF868415.1	KF866990.1
KF868415.1	KF866991.1
KF868415.1	KF866992.1
KF868415.1	KF866993.1
KF868415.1	KF866994.1
KF868415.1	KF866996.1
KF868415.1	KF866997.1
KF868415.1	KF866999.1
KF868415.1	KF867002.1
KF868415.1	KF867003.1
KF868415.1	KF867004.1
KF868415.1	KF867005.1
KF868415.1	KF867006.1
KF868415.1	KF867007.1
KF868415.1	KF867008.1
KF868415.1	KF867009.1
KF868415.1	KF867010.1
KF868415.1	KF867011.1
KF868415.1	KF867012.1
KF868415.1	KF867013.1
KF868415.1	KF867014.1
KF868415.1	KF867015.1
KF868415.1	KF867016.1
KF868415.1	KF867017.1
KF868415.1	KF867018.1
KF868415.1	KF867019.1
KF868415.1	KF867021.1
KF868415.1	KF867022.1
KF868415.1	KF867023.1
KF868415.1	KF867024.1
KF868415.1	KF867025.1
KF868415.1	KF867026.1
KF868415.1	KF867029.1
KF868415.1	KF867031.1
KF868415.1	KF867032.1
KF868415.1	KF867033.1
KF868415.1	KF867034.1
KF868415.1	KF867035.1
KF868415.1	KF867036.1
KF868415.1	KF867037.1
KF868415.1	KF867038.1
KF868415.1	KF867039.1
KF868415.1	KF867040.1
KF868415.1	KF867041.1
KF868415.1	KF867043.1
KF868415.1	KF867044.1
KF868415.1	KF867045.1
KF868415.1	KF867047.1
KF868415.1	KF867048.1
KF868415.1	KF867049.1
KF868415.1	KF867051.1
KF868415.1	KF867052.1
KF868415.1	KF867053.1
KF868415.1	KF867054.1
KF868415.1	KF867056.1
KF868415.1	KF867057.1
KF868415.1	KF867060.1
KF868415.1	KF867061.1
KF868415.1	KF867062.1
KF868415.1	KF867063.1
KF868415.1	KF867064.1
KF868415.1	KF867065.1
KF868415.1	KF867066.1
KF868415.1	KF867067.1
KF868415.1	KF867068.1
KF868415.1	KF867069.1
KF868415.1	KF867070.1
KF868415.1	KF867071.1
KF868415.1	KF867072.1
KF868415.1	KF867073.1
KF868415.1	KF867074.1
KF868415.1	KF867075.1
KF868415.1	KF867076.1
KF868415.1	KF867077.1
KF868415.1	KF867078.1
KF868415.1	KF867081.1
KF868415.1	KF867082.1
KF868415.1	KF867083.1
KF868415.1	KF867084.1
KF868415.1	KF867085.1
KF868415.1	KF867086.1
KF868415.1	KF867087.1
KF868415.1	KF867088.1
KF868415.1	KF867223.1
KF868415.1	KF867292.1
KF868415.1	KF867378.1
KF868415.1	KF867483.1
KF868415.1	KF867089.1
KF868415.1	KF867090.1
KF868415.1	KF867091.1
KF868415.1	KF867092.1
KF868415.1	KF867093.1
KF868415.1	KF867094.1
KF868415.1	KF867095.1
KF868415.1	KF867097.1
KF868415.1	KF867098.1
KF868415.1	KF867803.1
KF868415.1	KF867997.1
KF868415.1	KF867100.1
KF868415.1	KF867101.1
KF868415.1	KF867102.1
KF868415.1	KF867103.1
KF868415.1	KF867104.1
KF868415.1	KF867105.1
KF868415.1	KF867106.1
KF868415.1	KF867107.1
KF868415.1	KF867108.1
KF868415.1	KF867109.1
KF868415.1	KF867110.1
KF868415.1	KF867111.1
KF868415.1	KF867112.1
KF868415.1	KF867113.1
KF868415.1	KF866573.1
KF868415.1	KF866865.1
KF868415.1	KF866995.1
KF868415.1	KF866998.1
KF868415.1	KF867027.1
KF868415.1	KF867028.1
KF868415.1	KF867158.1
KF868415.1	KF867204.1
KF868415.1	KF867348.1
KF868415.1	KF867418.1
KF868415.1	KF867461.1
KF868415.1	KF867491.1
KF868415.1	KF867528.1
KF868415.1	KF867547.1
KF868415.1	KF867680.1
KF868415.1	KF868062.1
KF868415.1	KF868063.1
KF868415.1	KF868351.1
KF868415.1	KF868366.1
KF868415.1	KF867115.1
KF868415.1	KF867116.1
KF868415.1	KF867117.1
KF868415.1	KF867455.1
KF868415.1	KF867572.1
KF868415.1	KF867699.1
KF868415.1	KF868088.1
KF868415.1	KF868122.1
KF868415.1	KF867118.1
KF868415.1	KF867119.1
KF868415.1	KF867120.1
KF868415.1	KF867121.1
KF868415.1	KF867122.1
KF868415.1	KF867123.1
KF868415.1	KF867124.1
KF868415.1	KF867125.1
KF868415.1	KF867126.1
KF868415.1	KF867127.1
KF868415.1	KF867128.1
KF868415.1	KF867129.1
KF868415.1	KF867130.1
KF868415.1	KF867131.1
KF868415.1	KF867132.1
KF868415.1	KF867133.1
KF868415.1	KF867134.1
KF868415.1	KF867135.1
KF868415.1	KF867137.1
KF868415.1	KF867138.1
KF868415.1	KF867139.1
KF868415.1	KF867140.1
KF868415.1	KF867141.1
KF868415.1	KF867142.1
KF868415.1	KF867143.1
KF868415.1	KF867144.1
KF868415.1	KF867145.1
KF868415.1	KF867146.1
KF868415.1	KF867147.1
KF868415.1	KF867148.1
KF868415.1	KF867149.1
KF868415.1	KF867150.1
KF868415.1	KF867151.1
KF868415.1	KF867152.1
KF868415.1	KF867153.1
KF868415.1	KF867154.1
KF868415.1	KF867155.1
KF868415.1	KF867156.1
KF868415.1	KF867157.1
KF868415.1	KF867159.1
KF868415.1	KF866945.1
KF868415.1	KF867831.1
KF868415.1	KF868026.1
KF868415.1	KF868050.1
KF868415.1	KF867160.1
KF868415.1	KF867161.1
KF868415.1	KF867163.1
KF868415.1	KF867164.1
KF868415.1	KF867165.1
KF868415.1	KF867167.1
KF868415.1	KF867168.1
KF868415.1	KF867170.1
KF868415.1	KF867172.1
KF868415.1	KF867173.1
KF868415.1	KF867174.1
KF868415.1	KF867175.1
KF868415.1	KF867176.1
KF868415.1	KF867177.1
KF868415.1	KF867178.1
KF868415.1	KF867179.1
KF868415.1	KF867180.1
KF868415.1	KF867181.1
KF868415.1	KF867182.1
KF868415.1	KF867183.1
KF868415.1	KF867184.1
KF868415.1	KF867185.1
KF868415.1	KF867186.1
KF868415.1	KF867187.1
KF868415.1	KF867188.1
KF868415.1	KF867189.1
KF868415.1	KF867190.1
KF868415.1	KF867191.1
KF868415.1	KF867192.1
KF868415.1	KF867193.1
KF868415.1	KF867639.1
KF868415.1	KF867998.1
KF868415.1	KF867194.1
KF868415.1	KF867195.1
KF868415.1	KF867196.1
KF868415.1	KF867197.1
KF868415.1	KF867198.1
KF868415.1	KF867199.1
KF868415.1	KF867200.1
KF868415.1	KF867201.1
KF868415.1	KF867202.1
KF868415.1	KF867203.1
KF868415.1	KF867205.1
KF868415.1	KF867206.1
KF868415.1	KF867207.1
KF868415.1	KF867208.1
KF868415.1	KF867209.1
KF868415.1	KF867210.1
KF868415.1	KF867214.1
KF868415.1	KF867573.1
KF868415.1	KF867702.1
KF868415.1	KF868094.1
KF868415.1	KF868124.1
KF868415.1	KF868220.1
KF868415.1	KF867216.1
KF868415.1	KF867217.1
KF868415.1	KF867218.1
KF868415.1	KF867219.1
KF868415.1	KF867220.1
KF868415.1	KF867221.1
KF868415.1	KF867222.1
KF868415.1	KF867224.1
KF868415.1	KF867225.1
KF868415.1	KF867226.1
KF868415.1	KF867227.1
KF868415.1	KF867228.1
KF868415.1	KF867231.1
KF868415.1	KF867233.1
KF868415.1	KF867235.1
KF868415.1	KF867236.1
KF868415.1	KF867237.1
KF868415.1	KF867239.1
KF868415.1	KF867240.1
KF868415.1	KF867241.1
KF868415.1	KF867242.1
KF868415.1	KF867243.1
KF868415.1	KF867244.1
KF868415.1	KF867245.1
KF868415.1	KF867246.1
KF868415.1	KF867247.1
KF868415.1	KF867248.1
KF868415.1	KF867249.1
KF868415.1	KF867250.1
KF868415.1	KF867251.1
KF868415.1	KF867252.1
KF868415.1	KF867637.1
KF868415.1	KF868270.1
KF868415.1	KF867253.1
KF868415.1	KF867255.1
KF868415.1	KF867256.1
KF868415.1	KF867257.1
KF868415.1	KF867258.1
KF868415.1	KF867259.1
KF868415.1	KF867260.1
KF868415.1	KF867261.1
KF868415.1	KF867262.1
KF868415.1	KF867263.1
KF868415.1	KF867264.1
KF868415.1	KF867265.1
KF868415.1	KF867266.1
KF868415.1	KF867267.1
KF868415.1	KF867268.1
KF868415.1	KF867269.1
KF868415.1	KF867270.1
KF868415.1	KF867271.1
KF868415.1	KF867272.1
KF868415.1	KF867273.1
KF868415.1	KF867275.1
KF868415.1	KF867278.1
KF868415.1	KF867279.1
KF868415.1	KF867280.1
KF868415.1	KF867281.1
KF868415.1	KF867282.1
KF868415.1	KF867287.1
KF868415.1	KF867288.1
KF868415.1	KF867289.1
KF868415.1	KF867290.1
KF868415.1	KF867291.1
KF868415.1	KF867293.1
KF868415.1	KF867294.1
KF868415.1	KF867295.1
KF868415.1	KF867296.1
KF868415.1	KF867297.1
KF868415.1	KF867298.1
KF868415.1	KF867299.1
KF868415.1	KF867300.1
KF868415.1	KF867302.1
KF868415.1	KF867303.1
KF868415.1	KF867304.1
KF868415.1	KF867305.1
KF868415.1	KF867306.1
KF868415.1	KF867307.1
KF868415.1	KF867310.1
KF868415.1	KF867780.1
KF868415.1	KF868247.1
KF868415.1	KF867311.1
KF868415.1	KF867312.1
KF868415.1	KF867313.1
KF868415.1	KF867314.1
KF868415.1	KF867315.1
KF868415.1	KF867316.1
KF868415.1	KF867317.1
KF868415.1	KF867318.1
KF868415.1	KF867319.1
KF868415.1	KF867320.1
KF868415.1	KF867321.1
KF868415.1	KF867322.1
KF868415.1	KF867323.1
KF868415.1	KF867324.1
KF868415.1	KF867325.1
KF868415.1	KF867326.1
KF868415.1	KF867327.1
KF868415.1	KF867328.1
KF868415.1	KF867329.1
KF868415.1	KF867330.1
KF868415.1	KF867331.1
KF868415.1	KF867332.1
KF868415.1	KF867333.1
KF868415.1	KF867334.1
KF868415.1	KF867335.1
KF868415.1	KF867336.1
KF868415.1	KF867337.1
KF868415.1	KF867338.1
KF868415.1	KF867339.1
KF868415.1	KF867340.1
KF868415.1	KF867810.1
KF868415.1	KF867981.1
KF868415.1	KF867341.1
KF868415.1	KF867342.1
KF868415.1	KF867343.1
KF868415.1	KF867344.1
KF868415.1	KF867345.1
KF868415.1	KF867346.1
KF868415.1	KF867347.1
KF868415.1	KF867350.1
KF868415.1	KF867351.1
KF868415.1	KF867352.1
KF868415.1	KF867354.1
KF868415.1	KF867355.1
KF868415.1	KF867356.1
KF868415.1	KF867358.1
KF868415.1	KF867359.1
KF868415.1	KF867360.1
KF868415.1	KF867361.1
KF868415.1	KF867362.1
KF868415.1	KF867363.1
KF868415.1	KF867364.1
KF868415.1	KF867368.1
KF868415.1	KF867369.1
KF868415.1	KF867370.1
KF868415.1	KF867371.1
KF868415.1	KF867372.1
KF868415.1	KF867373.1
KF868415.1	KF867374.1
KF868415.1	KF867375.1
KF868415.1	KF867376.1
KF868415.1	KF867377.1
KF868415.1	KF867379.1
KF868415.1	KF867591.1
KF868415.1	KF867899.1
KF868415.1	KF867380.1
KF868415.1	KF867381.1
KF868415.1	KF867382.1
KF868415.1	KF867383.1
KF868415.1	KF867384.1
KF868415.1	KF867385.1
KF868415.1	KF867386.1
KF868415.1	KF867387.1
KF868415.1	KF867388.1
KF868415.1	KF867390.1
KF868415.1	KF867391.1
KF868415.1	KF867392.1
KF868415.1	KF867393.1
KF868415.1	KF867394.1
KF868415.1	KF867395.1
KF868415.1	KF867396.1
KF868415.1	KF867397.1
KF868415.1	KF867398.1
KF868415.1	KF867399.1
KF868415.1	KF867400.1
KF868415.1	KF867401.1
KF868415.1	KF867402.1
KF868415.1	KF867403.1
KF868415.1	KF867404.1
KF868415.1	KF867407.1
KF868415.1	KF867408.1
KF868415.1	KF867409.1
KF868415.1	KF867410.1
KF868415.1	KF867411.1
KF868415.1	KF867412.1
KF868415.1	KF867413.1
KF868415.1	KF867414.1
KF868415.1	KF867415.1
KF868415.1	KF867416.1
KF868415.1	KF867417.1
KF868415.1	KF867419.1
KF868415.1	KF867420.1
KF868415.1	KF867421.1
KF868415.1	KF867422.1
KF868415.1	KF867423.1
KF868415.1	KF867424.1
KF868415.1	KF867425.1
KF868415.1	KF867426.1
KF868415.1	KF867427.1
KF868415.1	KF867428.1
KF868415.1	KF867429.1
KF868415.1	KF867431.1
KF868415.1	KF867432.1
KF868415.1	KF867433.1
KF868415.1	KF867434.1
KF868415.1	KF867435.1
KF868415.1	KF867436.1
KF868415.1	KF867437.1
KF868415.1	KF867438.1
KF868415.1	KF867439.1
KF868415.1	KF867440.1
KF868415.1	KF867441.1
KF868415.1	KF867442.1
KF868415.1	KF867443.1
KF868415.1	KF867444.1
KF868415.1	KF867445.1
KF868415.1	KF867447.1
KF868415.1	KF867448.1
KF868415.1	KF867449.1
KF868415.1	KF867450.1
KF868415.1	KF867452.1
KF868415.1	KF867453.1
KF868415.1	KF867454.1
KF868415.1	KF867456.1
KF868415.1	KF867459.1
KF868415.1	KF867462.1
